タイトル,ふりがな,分類,現市町村,伝承地,キーワード,話者,採集者,引用,著者,論文名,著者・編者,文献名,出版社,和暦,西暦,リンク,県図書,デジコレ,備考
阿蘇さま,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
河童の恩返し,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
孝行な娘狐,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
杉田六之助河童退治,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
夜泣橋,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
ちごくら,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
檍ケ森,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
安姫さま,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
日講上人,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
吉川の局,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
古月禅師,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
野田泉光院,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
島津随真院,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
根井三郎,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
佐土原人形,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
くじら羊かん,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
佐土原藩お家騒動,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
佐土原十六烈士,,伝説,宮崎市,宮崎市佐土原町,,,,,,,佐土原ＳＩＧＥＫＩ塾編,佐土原むかし物語,佐土原ＳＩＧＥＫＩ塾,令和2年,2020,,,,
１．おぎんとにょろ（小丸川流域の昔話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 １,木城ボランティアにぎやかし隊,令和3年,2021,,,,
２．下ん川の河童と相撲を取った清馬どん（木城ふる里ばなし）、,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 １,木城ボランティアにぎやかし隊,令和3年,2021,,,,
３．大源谷の古狸（中椎木地区に伝わる民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 １,木城ボランティアにぎやかし隊,令和3年,2021,,,,
４．炭焼き五郎爺（創作））,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 １,木城ボランティアにぎやかし隊,令和3年,2021,,,,
５．狐にだまされた源助どん（木城ふる里ばなし）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 １,木城ボランティアにぎやかし隊,令和3年,2021,,,,
６．蛇ヶ淵の渡し守と腹話術（ふるさと木城の民話）,,昔話,木城町,木城町,蛇、,,,,,,木城史談クラブ,木城の民話 １,木城ボランティアにぎやかし隊,令和3年,2021,,,,
１．泥棒から金を借りた医者（木城ふる里ばなし）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 2,木城ボランティアにぎやかし隊,令和3年,2021,,,,
２．ひょうすんぼの薬（高城地区に伝わる民話）,,昔話,木城町,木城町,河童、,,,,,,木城史談クラブ,木城の民話 2,木城ボランティアにぎやかし隊,令和3年,2021,,,,
３．しゅ助どん（ふるさと木城の民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 2,木城ボランティアにぎやかし隊,令和3年,2021,,,,
４．岩渕沼の河童と仲良し三太郎（木城ふる里ばなし）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 2,木城ボランティアにぎやかし隊,令和3年,2021,,,,
５．五分一小僧（小丸川流域の昔話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 2,木城ボランティアにぎやかし隊,令和3年,2021,,,,
６．手水を回せ（ふるさと木城の民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 2,木城ボランティアにぎやかし隊,令和3年,2021,,,,
,,昔話,都城市,都城市,,,,,,河童にまつわる話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,狐にまつわる話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,不思議な話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,大ぼら吹きと言われた人の話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,人々の祈りや行いの話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,変わった行ないで人目を引いた人の話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,目立った行ないで知られた人の話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,自然の植物や景観・地形の話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,地域に残る伝統の行事・風習等の話,	吉川正一,都城西部の民俗と民話 上巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,怖い奇怪な話,	吉川正一,都城西部の民俗と民話 下巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,蛇、,,,,,蛇や奇怪な動物の話,	吉川正一,都城西部の民俗と民話 下巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,目立った行ないで知られた人の話,	吉川正一,都城西部の民俗と民話 下巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,各地を流れ歩く人々の話,	吉川正一,都城西部の民俗と民話 下巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,自然の食物を求める人たち　甘味を求める子どもたちの話,	吉川正一,都城西部の民俗と民話 下巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,キノコ狩りにまつわる話,	吉川正一,都城西部の民俗と民話 下巻,私家版,令和4,2022,,,,
,,昔話,都城市,都城市,,,,,,明観寺にまつわる話,	吉川正一,都城西部の民俗と民話 下巻,私家版,令和4,2022,,,,
,,,都城市,都城市,,,,,,その他いろいろな話,	吉川正一,都城西部の民俗と民話 下巻,私家版,令和4,2022,,,,
１．穴ん谷の竜宮城（川原地区に伝わる民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
２．後姿の美女（ふるさと木城の民話）、,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
３．行山法師（川原地区に伝わる民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
４．かっぱの風呂入り（ふるさと木城の民話）、,,昔話,木城町,木城町,河童、,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
５．朝日輝く夕日のもと（ふるさと木城の民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
６．日除牟田（ふるさと木城の民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
７．梅姫物語（田神地区に伝わる民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
８．姥捨て山物語（ふるさと木城の民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
９．足の速いおぼうさん（重木地区に伝わる民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
１０．火吹き竹（ふるさと木城の民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 3,木城ボランティアにぎやかし隊,令和6年,2024,,,,
１．疫神講のはじまり（中之又民話）、,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
２．不思議な神竜（比木地区に伝わる民話）、,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
３．山賊矢櫃次郎左衛門一家（石河内地区に伝わる民話）、,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
４．常若峰の天狗と大蛇退治（白木八重地区に伝わる民話）、,,昔話,木城町,木城町,蛇、,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
５．千七・千八物語（ふるさと木城の民話）、,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
６．断崖の光のなぞ（木城ふる里ばなし）、,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
７．しゅじゅん松のキツネ（小丸川流域の昔話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
８．お日子山の美女（お日子山に伝わる民話）、,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
９．石の城ものがたり（ふるさと木城の民話）,,昔話,木城町,木城町,,,,,,,木城史談クラブ,木城の民話 4,木城ボランティアにぎやかし隊,令和6年,2024,,,,
当然の話,,,高千穂町,高千穂町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
山の端,,,高千穂町,高千穂町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
ただいま,,,高千穂町,高千穂町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
おかえり,,,高千穂町,高千穂町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
境,,,高千穂町,高千穂町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
あの家,,,延岡市,延岡市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
理由不明,,,椎葉村,椎葉村,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
名所,,,日向市,日向市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
引き金,,,高千穂町,高千穂町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
コラム◎鬼八塚異間,,,高千穂町,高千穂町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
原因,,,宮崎市,宮崎市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
コッコットンネル,,,宮崎市,宮崎市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
アイランド,,,宮崎市,宮崎市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
堀切峠,,,宮崎市,宮崎市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
その日は朝から,,,綾町,綾町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
仏舎利塔,,,宮崎市,宮崎市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
社員寮,,,木城町,木城町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
コラム◎鰐塚山鰐は何処に,,,,,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
噂の,,,えびの市,えびの市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
チーズまんじゅう食ぺ比ペ,,,小林市,小林市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
それはそう,,,,県西,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
お隣,,,,都城市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
進むもの,,,,都城市他,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
あの家　その2,,,,県西,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
コラム◎神石露震一閃,,,,,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
遊泳禁止区域,,,日南市,日南市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
旧隧道,,,日南市,日南市1三股町,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
廃墟群,,,串問市,串問市,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
県南のどこかで,,,,県南,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
コラム◎玉璧　櫛間王族の謎,,,,,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
河童が通った道1 宮崎河童ロードを行く,,,,,河童、,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
神々の里　宮崎を行くー日向神話を辿る。,,,,,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
宮崎怪談、取材同行後記ーパワスポって本当にパワーあるよね。,,,,,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
墓を守るー宮崎県取材ノートより,,,,,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
宮崎県と怪異,,,,,,,,,,,久田樹生,宮崎怪談,竹書房,令和6年,2024,,,,
網掛観音,,伝説,,,,,,,,,宮崎県小学校研究会編,網掛観音（宮崎県版青空文庫五年）,日本標準,年不明,,,,,
琴塚,,伝説,,,,,,,,,宮崎県小学校研究会編,琴塚（宮崎県版青空文庫五年）,日本標準,年不明,,,,,
,,,,,,,,,,,稲葉三重子・有吉弘行画,宮崎の昔ばなし,横山百貨店,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,比江島重孝,,,"昭和46年4月28日〜「日向こども民話」『宮崎日日新聞』連載開始。
昭和59年2月2日まで675回",,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
蜘蛛,,,,都城市，日南市,,,,,田中熊雄,第七章 第四節 葬制：二 霊魂,,宮崎県史 資料編 民俗2,,,,怪異・妖怪伝承データベース,,,
,,,,,,,,,,,,『日本神話・伝説総覧』　宮田登他　人物往来社,,,,,,,
,,,,,,,,,,,,『五ヶ瀬町史』　五ヶ瀬町　第一法規,,,,,,,
,,,,,,,,,,,,『椎葉村史』　椎葉村　下田印刷,,,,,,,
,,,,,,,,,,,,『高千穂町史』　高千穂町,,,,,,,
,,,,,,,,,,,,『瓜生野倉岡郷土史』　瓜生野倉岡郷土史編集委員会,,,,,,,
,,,,,,,,,,,,『国富町史』　坂本貞義　国富町,,,,,,,
,,,,,,,,,,,,『新富町史』　新富町　第一法規,,,,,,,
,,,,,,,,,,,,『諸塚村史』　諸塚村,,,,,,,
,,,,,,,,,,,,『宮崎の神話伝承』　甲斐亮典　鉱脈社,,,,,,,
,,,,,,,,,,,,『師走祭り』　南郷村教育委員会　南郷村,,,,,,,
,,,,,,,,,,,,『ひむか神話街道５０の物語集』　宮崎県観光推進課,,,,,,,
,,,,,,,,,,,,『みやざき観光・文化検定公式テキスト』宮日文化情報センター,,,,,,,
鳥の知恵（とりのちえ）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
ながし、みじかし,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
こればあさん　笠賃よ（こればあさん　かさちんよ）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
猪狩り正右衛門（ししがりしょうえもん）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
バカ聟に梅と鶯（ばかむこにうめとうぐいす）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
とくぞすの使い（とくぞすのつかい）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
狐の嫁入り（きつねのよめいり）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
竜宮のお礼（りゅうぐうのおれい）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
半ぴどんと外記どん（はんぴどんとげきどん）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
母狐（ははぎつね）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
米問屋の御礼（こめどんやのおんれい）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
天狗さまの鼻はなぜ赤い（てんぐさまのはなはなぜあかい）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
米良の上漆（めらのじょううるし）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
河童岩（かっぱいわ）,,,,,,,,,,宮崎県の昔話,総監修：六渡　邦昭,民話の部屋,企画・制作・放送：東京テレホン放送,,,語り：井上　瑤／平辻　朝子,,,
金色のとび,,,,,,,,,,宮崎県,,「都道府県巡り」,,,,,,,
生きている竜,,,,,,,,,,宮崎県,,「都道府県巡り」,,,,,,,
洪水から村をすくった若者,,,,,,,,,,宮崎県,,「都道府県巡り」,,,,,,,
カッパ岩,,,,,,,,,,宮崎県,,「都道府県巡り」,,,,,,,
米問屋のお礼,,,,,,,,,,宮崎県,,「都道府県巡り」,,,,,,,
夢買い長者,,,,,,,,,,宮崎県,,「都道府県巡り」,,,,,,,
てんぐの鼻が高いわけ,,,,,,,,,,宮崎県,,「都道府県巡り」,,,,,,,
一枚のうろこ,,,,,,,,,,宮崎県,,「都道府県巡り」,,,,,,,
じゃぶちの生（き）うるし,,,,,,,,,,,,みやざきのむかしばなし,みやざき　ひむか学ネット,,,,,,
やごろうどん,,,,,,,,,,,,みやざきのむかしばなし,みやざき　ひむか学ネット,,,,,,
あまのいわやと,,,,,,,,,,,,みやざきのむかしばなし,みやざき　ひむか学ネット,,,,,,
冷や汁婆ちゃん（宮崎県）,,,,,,,,,,,,ふるさと　日本の昔ばなし　決定版　郷土名作　九州・沖縄,コロンビアレコード,令和6年,2024,DVD,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ミナどん　ミナどん,,,,不明,,不明,比江島重孝,,比江島重孝,日向こども民話1,,宮崎日日新聞、昭和43年4月28日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
すいつこ　すいつこ,,,,不明,,不明,比江島重孝,,比江島重孝,日向こども民話2,,宮崎日日新聞、昭和43年5月5日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
猿になってちいたげな,,,,不明,,不明,比江島重孝,,比江島重孝,日向こども民話3,,宮崎日日新聞、昭和43年5月26日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
かりこ坊のたたり,,,,米良地方,,不明,比江島重孝,,比江島重孝,日向こども民話4,,宮崎日日新聞、昭和43年6月2日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
美しい娘はキツネどん,,,,西都市、佐土原町,,不明,比江島重孝,,比江島重孝,日向こども民話5,,宮崎日日新聞、昭和43年6月9日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
はかの一心（西都市）,,,,西都市南方島内村,,田中正一,比江島重孝,,比江島重孝,日向こども民話6,,宮崎日日新聞、昭和43年6月16日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
あぶらにけんそ（清武町）,,,,清武町南加納,,石川吉五郎,比江島重孝,,比江島重孝,日向こども民話7,,宮崎日日新聞、昭和43年6月23日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
鳥のきき耳（佐土原町）,,,,佐土原町平小牧,,永野伊作,比江島重孝,,比江島重孝,日向こども民話8,,宮崎日日新聞、昭和43年7月8日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
海の水はなぜ塩からい（西都市）,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話9,,宮崎日日新聞、昭和43年8月4日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
馬のしりにおふだ（佐土原町）,,,,佐土原町平小牧,,永野伊作,比江島重孝,,比江島重孝,日向こども民話10,,宮崎日日新聞、昭和43年8月11日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
手なし女（西都市西原ハツ）,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話11,,宮崎日日新聞、昭和43年8月19日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
半びどんのやくばらい（西都市）,,,,西都市清水,,金丸正義,比江島重孝,,比江島重孝,日向こども民話12,,宮崎日日新聞、昭和43年8月26日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
サルどん　ごめんや,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話13,,宮崎日日新聞、昭和43年9月1日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
三星さま,,,,西都市清水,,松浦シゲノ,比江島重孝,,比江島重孝,日向こども民話14,,宮崎日日新聞、昭和43年9月8日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
ええ　かん,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話15,,宮崎日日新聞、昭和43年9月16日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
七つの金つぼ,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話16,,宮崎日日新聞、昭和43年9月21日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
伊勢みやげ,,,,佐土原町平小牧,,永野伊作,比江島重孝,,比江島重孝,日向こども民話17,,宮崎日日新聞、昭和43年10月7日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
明け六つ暮れ六つ,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話18,第18回(1968.10.12.),宮崎日日新聞、昭和43年10月12日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
赤はげキツネ,,,,西都市杉安,,緒方正三郎,比江島重孝,,比江島重孝,日向こども民話19,第19回(1968.10.21.),宮崎日日新聞、昭和43年10月21日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
カモとり半ぴどん,,,,佐土原町平小牧,,永野伊作,比江島重孝,,比江島重孝,日向こども民話20,第20回(1968.10.27.)★,宮崎日日新聞、昭和43年10月27日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
スリコギのおばけ,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話21,第21回(1968.11.11.),宮崎日日新聞、昭和43年11月11日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
椎の実ひろい,,,,佐土原町平小牧,,日野フミエ,比江島重孝,,比江島重孝,日向こども民話22,第22回(1968.11.17.)★,宮崎日日新聞、昭和43年11月17日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
ふしぎな牛,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話23,第23回(1968.11.24.)？？？,宮崎日日新聞、昭和43年11月24日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
せんサラや,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話24,第24回(1968.12.7.),宮崎日日新聞、昭和43年12月7日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
まめ米ぶんぶん,,,,西都市杉安,,緒方正三郎,比江島重孝,,比江島重孝,日向こども民話25,第25回(1968.12.21.),宮崎日日新聞、昭和43年12月21日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
うめにウグイス,,,,佐土原町平小牧,,永野伊作,比江島重孝,,比江島重孝,日向こども民話26,第26回(1968.12.28.)★,宮崎日日新聞、昭和43年12月28日,宮崎日日新聞,昭和43年,1968,,,,絵：川越弥録
山の家,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話27,第27回(1969.1.12.),宮崎日日新聞、昭和44年1月12日,宮崎日日新聞,昭和44年,1969,,,,絵：川越弥録
三年ね太郎,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話28,第28回(1969.1.18.),宮崎日日新聞、昭和44年1月18日,宮崎日日新聞,昭和44年,1969,,,,絵：川越弥録
もちと酒,,,,西都市穂北囲,,西原ハツ,比江島重孝,,比江島重孝,日向こども民話29,第29回(1969.1.24.),宮崎日日新聞、昭和44年1月24日,宮崎日日新聞,昭和44年,1969,,,,絵：川越弥録
