タイトル,ふりがな,分類,現市町村,伝承地,キーワード,話者,採集者,引用,著者,論文名,著者・編者,文献名,出版社,和暦,西暦,リンク,県図書,デジコレ,備考
四、　茶園平（チヤエンデラ）/26,四、　茶園平（チヤエンデラ）/26,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
五、　片田（カタダ）/27,五、　片田（カタダ）/27,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
六、　愛宕北麓の古墳/29,六、　愛宕北麓の古墳/29,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
七、　春日神社/30,七、　春日神社/30,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
八、　古城及び本村の出土品/31,八、　古城及び本村の出土品/31,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
可愛岳（可愛山陵所在地）附近の遺蹟と傳説/34,可愛岳（可愛山陵所在地）附近の遺蹟と傳説/34,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
總説/34,總説/34,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一、　俵野の起源/35,一、　たわらののきげん/35,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
二、　御陵墓傳説地/36,二、　御陵墓傳説地/36,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
三、　俵野天神/40,三、　俵野天神/40,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
四、　三本岩と鉾岩/41,四、　三本岩と鉾岩/41,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
五、　屋敷ノ窪/42,五、　屋敷ノ窪/42,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
六、　可愛神社/42,六、　可愛神社/42,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
七、　十代屋敷/44,七、　十代屋敷/44,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
八、　長井神社（一名、妙見樣）/45,八、　長井神社（一名、妙見樣）/45,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
九、　竹谷神社/46,九、　竹谷神社/46,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一〇、　可愛岳の横穴/46,一〇、　かわいがくのよこあな/46,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
阿賀多神社と傳説/49,阿賀多神社と傳説/49,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
三輪明神と傳説/52,三輪明神と傳説/52,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
大貫神社と傳説/56,大貫神社と傳説/56,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
附録,ふろく,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
延岡附近の古墳　鳥居龍藏/59,延岡附近の古墳　鳥居龍藏/59,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
延岡地方に於ける史蹟に就て　河井田政吉/72,延岡地方に於ける史蹟に就て　河井田政吉/72,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
東臼杵郡史蹟研究會會則/82,東臼杵郡史蹟研究會會則/82,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
,,"神話, 伝説",,,,,,,,,壱岐晴繁,神都日向,宮崎県,昭和 2,1927,,,,
龍,龍,伝説,宮崎市,宮崎市,,,,,横山武男,池沼淵井等の伝説比較,民族発行所,民族　3巻4号,民族発行所,昭和3年,1928,怪異・妖怪伝承データベース,,,
,,,,,,,,,,,久保季夫,語人は語る,新店書籍部,昭和 5,1930,,,,
,,昔話,,,,,,,,,宮崎県,日向俚謡集(1),宮崎県,昭和 5,1930,,,,
竹谷神社の逆竹,竹谷神社の逆竹,伝説,延岡市,延岡市,河童、,,,,,竹谷神社の逆竹,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
山里のうば,山里のうば,伝説,延岡市,延岡市,,,,,,山里のうば,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
祝子村の蛇淵,祝子村の蛇淵,伝説,延岡市,延岡市,蛇、,,,,,祝子村の蛇淵,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
若宮八幡神社,若宮八幡神社,伝説,延岡市,延岡市,,,,,,若宮八幡神社,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
妙の地名と土持氏の子孫,妙の地名と土持氏の子孫,伝説,延岡市,延岡市,,,,,,妙の地名と土持氏の子孫,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
延岡と真田幸村,延岡と真田幸村,伝説,延岡市,延岡市,,,,,,延岡と真田幸村,泉毅一郎,延岡雑談,延岡新聞社,昭和6,1931,,,,
